"ID","log2sum","n","type"
"SERPINH1",-0.401731744986427,1,"ns"
"SH3BGRL3",-0.223449565500628,1,"ns"
"SHMT1",0.951878011844914,1,"up"
"SIGLEC1",0.207416268671126,1,"ns"
"SLC25A3",0.00154987968972203,1,"ns"
"SLC25A5",0.892673695527808,1,"up"
"SLC25A6",0.513045812910442,1,"up"
"SLC35A1",-0.360180794253311,1,"ns"
"SLC35A4",0.536618396385208,1,"up"
"SND1",0.128303866958991,1,"ns"
"SNRNP200",0.0711247192356412,1,"ns"
"SNU13",-0.189695617722145,1,"ns"
"SNX2",0.333089252367223,1,"ns"
"SOD2",0.278789800119529,1,"ns"
"SORD",0.788433028464125,1,"up"
"SPTAN1",0.279849887523405,1,"ns"
"SPTBN1",0.73255345040346,5,"up"
"SSR3",-0.0899581493244661,2,"ns"
"STEAP4",0.27140749658009,1,"ns"
"STIP1",0.760819488932447,1,"up"
"STT3A",0.395875312420848,1,"ns"
"TARS1",-0.497110375944603,1,"ns"
"TCERG1",0.965605015244175,1,"up"
"TF",0.0874974126978961,1,"ns"
"TGFBI",0.627693463993075,1,"up"
"TGM2",0.981548940760165,2,"up"
"THBS4",0.13969443705975,1,"ns"
"THYN1",0.535372766223508,1,"up"
"TLN1",0.48193571940882,3,"ns"
"TM9SF3",-0.2135948093992,1,"ns"
"TMED2",0.434808773202154,1,"ns"
"TMED5",-0.0474921213128552,1,"ns"
"TMED9",-1.02961760697365,1,"down"
"TMT1A",0.253463390481977,1,"ns"
"TNC",0.382215961659433,2,"ns"
"TNNI1",-0.305954033639426,1,"ns"
"TNNT1",0.786258808014279,1,"up"
"TNXB",0.0965281669713746,2,"ns"
"TOM1",-0.0624129590053161,1,"ns"
"TOMM6",0.0623939474011013,1,"ns"
"TPI1",0.38467220537701,1,"ns"
"TPM1",0.458001715782469,1,"ns"
"TPM3",0.0642322386860454,3,"ns"
"TPM4",0.0913326396434262,2,"ns"
"TSPAN3",0.902848215459119,1,"up"
"TTN",2.74981447113977,15,"up"
"TUBB",0.146772949752044,1,"ns"
"TYROBP",0.751149196067712,1,"up"
"UBE2M",-0.646028980376577,1,"down"
"UCHL1",0.608624428979309,1,"up"
"UGDH",0.263110070236936,1,"ns"
"UNC93B1",-0.713480790591472,1,"down"
"UQCRC2",0.693604114586522,1,"up"
"VAMP3",0.00857545074616333,1,"ns"
"VAMP5",-0.157615365497979,1,"ns"
"VCAN",-0.166327512593909,1,"ns"
"VCL",0.632804779520829,2,"up"
"VDAC1",-0.253072009174971,1,"ns"
"VDAC2",-0.61492700548378,1,"down"
"VIM",1.18854144831475,6,"up"
"VSIG4",-0.107362620150382,1,"ns"
"YWHAG",0.542096775672454,2,"up"
