epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn
5,1,1,78.3330,77.1128,73.0015,81.7147,59867.62710571,82.5374,49.4877,73.9229,37.1934,3413.33326530,121318.0000,44282.0000,9909.0000,50750.0000,16377.0000,7622.0000,652.0000,1101.0000,5639.0000,230.0000
6,1,1,78.7872,78.2590,76.3580,80.2571,58713.91896057,80.5300,47.8200,77.0975,34.6585,3733.97163773,121318.0000,46318.0000,11394.0000,49265.0000,14341.0000,7622.0000,680.0000,1282.0000,5458.0000,202.0000
7,1,1,79.4392,78.6259,75.6343,81.8639,57500.77885437,82.6948,50.6547,76.7574,37.8001,3560.35305405,121318.0000,45879.0000,10164.0000,50495.0000,14780.0000,7622.0000,677.0000,1114.0000,5626.0000,205.0000
8,1,1,79.9774,78.7102,74.0253,84.0282,56385.22676086,85.1089,54.1784,76.0771,42.0690,3285.42631149,121318.0000,44903.0000,8535.0000,52124.0000,15756.0000,7622.0000,671.0000,924.0000,5816.0000,211.0000
9,1,1,80.3706,78.9040,73.4186,85.2753,55561.28587341,86.2503,55.7432,74.8299,44.4145,3150.72542953,121318.0000,44535.0000,7690.0000,52969.0000,16124.0000,7622.0000,660.0000,826.0000,5914.0000,222.0000
10,1,1,80.7184,79.2064,73.4466,85.9463,54780.62316895,86.7095,56.4301,74.3764,45.4608,3063.92090988,121318.0000,44552.0000,7285.0000,53374.0000,16107.0000,7622.0000,656.0000,787.0000,5953.0000,226.0000
11,1,1,80.9872,79.5176,73.8126,86.1784,53906.90553284,86.9588,57.2289,75.3968,46.1165,3064.11008835,121318.0000,44774.0000,7181.0000,53478.0000,15885.0000,7622.0000,665.0000,777.0000,5963.0000,217.0000
12,1,1,81.2287,79.9923,75.0490,85.6326,53193.41259766,86.3290,56.4381,76.5306,44.7020,3136.93583298,121318.0000,45524.0000,7638.0000,53021.0000,15135.0000,7622.0000,675.0000,835.0000,5905.0000,207.0000
13,1,1,81.5675,80.2637,74.9617,86.3729,52310.53706360,87.1294,58.0948,77.0975,46.6073,3010.00742722,121318.0000,45471.0000,7174.0000,53485.0000,15188.0000,7622.0000,680.0000,779.0000,5961.0000,202.0000
14,1,1,81.9128,80.4918,74.6287,87.3548,51599.65554810,87.8903,59.3213,76.3039,48.5220,2858.55091476,121318.0000,45269.0000,6553.0000,54106.0000,15390.0000,7622.0000,673.0000,714.0000,6026.0000,209.0000
15,1,1,82.4832,81.5291,77.3175,86.2259,50659.55213928,86.6964,57.9253,79.1383,45.6806,3077.01525497,121318.0000,46900.0000,7492.0000,53167.0000,13759.0000,7622.0000,698.0000,830.0000,5910.0000,184.0000
16,1,1,82.8830,81.7896,76.8789,87.3705,49921.20077515,87.9166,60.1816,78.9116,48.6373,2871.06587029,121318.0000,46634.0000,6741.0000,53918.0000,14025.0000,7622.0000,696.0000,735.0000,6005.0000,186.0000
17,1,1,83.0874,82.4359,79.3782,85.7387,49593.20930481,86.0929,57.4980,81.2925,44.4789,3149.81160736,121318.0000,48150.0000,8009.0000,52650.0000,12509.0000,7622.0000,717.0000,895.0000,5845.0000,165.0000
18,1,1,83.5754,82.5079,77.4724,88.2434,48697.11779785,88.4020,61.2621,79.2517,49.9286,2749.30179214,121318.0000,46994.0000,6261.0000,54398.0000,13665.0000,7622.0000,699.0000,701.0000,6039.0000,183.0000
19,1,1,83.8763,82.9532,78.4616,87.9904,48238.36151123,88.1134,60.8131,79.7052,49.1608,2790.04714584,121318.0000,47594.0000,6496.0000,54163.0000,13065.0000,7622.0000,703.0000,727.0000,6013.0000,179.0000
20,1,1,84.1689,83.1600,78.1780,88.8202,47612.68716431,88.7431,61.9005,79.0249,50.8759,2689.45815659,121318.0000,47422.0000,5969.0000,54690.0000,13237.0000,7622.0000,697.0000,673.0000,6067.0000,185.0000
21,1,1,84.2835,83.3443,78.6446,88.6413,47168.19978333,88.4807,61.4574,79.3651,50.1433,2736.71782303,121318.0000,47705.0000,6113.0000,54546.0000,12954.0000,7622.0000,700.0000,696.0000,6044.0000,182.0000
22,1,1,84.3725,83.4102,78.5720,88.8833,46710.67642212,88.9006,62.4000,79.5918,51.3158,2737.40113831,121318.0000,47661.0000,5961.0000,54698.0000,12998.0000,7622.0000,702.0000,666.0000,6074.0000,180.0000
23,1,1,84.5695,83.5463,78.3511,89.4794,46495.18376160,89.4385,63.4921,79.3651,52.9101,2581.74336243,121318.0000,47527.0000,5588.0000,55071.0000,13132.0000,7622.0000,700.0000,623.0000,6117.0000,182.0000
24,1,1,84.5579,83.4127,77.6538,90.0943,46309.45928955,89.9239,64.3454,78.5714,54.4811,2475.90101051,121318.0000,47104.0000,5179.0000,55480.0000,13555.0000,7622.0000,693.0000,579.0000,6161.0000,189.0000
25,1,1,84.5489,83.6000,78.7633,89.0697,45806.83586121,88.9793,62.6335,79.8186,51.5373,2711.95989227,121318.0000,47777.0000,5863.0000,54796.0000,12882.0000,7622.0000,704.0000,662.0000,6078.0000,178.0000
26,1,1,84.6461,83.6681,78.6577,89.3602,45458.53643799,89.2285,63.1011,79.5918,52.2710,2699.33408356,121318.0000,47713.0000,5681.0000,54978.0000,12946.0000,7622.0000,702.0000,641.0000,6099.0000,180.0000
27,1,1,84.6437,83.7065,78.8918,89.1470,45328.91893005,89.1498,63.0639,80.0454,52.0265,2717.28970337,121318.0000,47855.0000,5826.0000,54833.0000,12804.0000,7622.0000,706.0000,651.0000,6089.0000,176.0000
